,Code,Name,Country,Exchange,Currency,Type,Isin
155,AAMAF,Atlas Mara Limited,USA,PINK,USD,Common Stock,
167,AAMC,Altisource Asset Management Corporation,USA,NYSE MKT,USD,Common Stock,VI02153X1080
169,AAME,Atlantic American Corporation,USA,NASDAQ,USD,Common Stock,US0482091008
181,AAMMF,Almadex Minerals Ltd,USA,PINK,USD,Common Stock,
183,AAMTF,Armada Mercantile Ltd,USA,PINK,USD,Common Stock,
185,AAN,The Aaron's Company Inc,USA,NYSE,USD,Common Stock,US00258W1080
186,AANNF,Aroundtown SA,USA,PINK,USD,Common Stock,
188,AAOI,Applied Optoelectronics Inc,USA,NASDAQ,USD,Common Stock,US03823U1025
189,AAON,AAON Inc,USA,NASDAQ,USD,Common Stock,US0003602069
193,AAP,Advance Auto Parts Inc,USA,NYSE,USD,Common Stock,US00751Y1064
194,AAPJ,AAP Inc,USA,PINK,USD,Common Stock,US00037T1034
195,AAPL,Apple Inc,USA,NASDAQ,USD,Common Stock,US0378331005
196,AAPT,All American Pet Company Inc,USA,PINK,USD,Common Stock,US01644F1066
197,AAQC,Accelerate Acquisition Corp,USA,NYSE,USD,Common Stock,US00439D1028
198,AAQC-WT,AAQC-WT,USA,NYSE,USD,Common Stock,
200,AASL,America's Suppliers Inc,USA,PINK,USD,Common Stock,
203,AASP,Global Acquisitions Corporation,USA,PINK,USD,Common Stock,US01643P1057
207,AASZF,Atlantic Sapphire ASA,USA,OTCQX,USD,Common Stock,
208,AAT,American Assets Trust Inc,USA,NYSE,USD,Common Stock,US0240131047
209,AATC,Image Sensing Systems Inc,USA,NASDAQ,USD,Common Stock,US0533061067
210,AATGF,ATI Airtest Technologies Inc,USA,PINK,USD,Common Stock,
212,AATRL,Amg Capital Trust II,USA,PINK,USD,Common Stock,US00170F2092
214,AATV,Adaptive Ad Systems Inc,USA,PINK,USD,Common Stock,US00650A1007
215,AAU,Almaden Minerals Ltd,USA,NYSE MKT,USD,Common Stock,CA0202833053
216,AAUGF,Angold Resources Ltd,USA,OTCQB,USD,Common Stock,
217,AAUKF,Anglo American plc,USA,OTCQX,USD,Common Stock,USG037641002
220,AAVMY,ABN AMRO Bank N.V,USA,PINK,USD,Common Stock,
221,AAVVF,Advantage Energy Ltd,USA,PINK,USD,Common Stock,CA00791P1071
222,AAVXF,ABIVAX Société Anonyme,USA,PINK,USD,Common Stock,
224,AAWH,Ascend Wellness Holdings Inc,USA,OTCQX,USD,Common Stock,
226,AAWW,Atlas Air Worldwide Holdings Inc,USA,NASDAQ,USD,Common Stock,US0491642056
228,AAXT,Aamaxan Transport Group Inc,USA,OTCCE,USD,Common Stock,
233,AAZZF,A2Z Smart Technologies Corp,USA,OTCQX,USD,Common Stock,CA0022091049
234,AB,AllianceBernstein Holding L.P,USA,NYSE,USD,Common Stock,US01881G1067
236,ABAKF,Aberdeen Asia-Pacific Income Investment Company Limited,USA,OTCGREY,USD,Common Stock,
238,ABANF,Automatic Bank Services Limited,USA,PINK,USD,Common Stock,
240,ABB,ABB Ltd,USA,NYSE,USD,Common Stock,US0003752047
241,ABBB,Auburn Bancorp Inc,USA,PINK,USD,Common Stock,US0502541016
242,ABBRF,AbraSilver Resource Corp,USA,OTCQX,USD,Common Stock,CA00379L1067
243,ABBV,AbbVie Inc,USA,NYSE,USD,Common Stock,US00287Y1091
244,ABBY,Abby Inc,USA,PINK,USD,Common Stock,US00287T3086
245,ABC,AmerisourceBergen Corporation,USA,NYSE,USD,Common Stock,US03073E1055
246,ABCAF,Athabasca Minerals Inc,USA,PINK,USD,Common Stock,
248,ABCB,Ameris Bancorp,USA,NASDAQ,USD,Common Stock,US03076K1088
250,ABCE,ABCO Energy Inc,USA,PINK,USD,Common Stock,US00287V4023
252,ABCFF,Abacus Mining & Exploration Corporation,USA,PINK,USD,Common Stock,
254,ABCL,AbCellera Biologics Inc,USA,NASDAQ,USD,Common Stock,CA00288U1066
255,ABCM,Abcam plc,USA,NASDAQ,USD,Common Stock,US0003802040
256,ABCP,AmBase Corporation,USA,PINK,USD,Common Stock,US0231641061
261,ABCZF,Abcam plc,USA,PINK,USD,Common Stock,
263,ABDDF,AB Dynamics plc,USA,PINK,USD,Common Stock,
264,ABDR,Ambassador Food Services Corp,USA,PINK,USD,Common Stock,US0229091055
268,ABEO,Abeona Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00289Y1073
269,ABEPF,Vision Lithium Inc,USA,OTCQB,USD,Common Stock,
272,ABETF,Supernova Metals Corp,USA,OTCGREY,USD,Common Stock,
273,ABEV,Ambev S.A,USA,NYSE,USD,Common Stock,US02319V1035
276,ABG,Asbury Automotive Group Inc,USA,NYSE,USD,Common Stock,US0434361046
277,ABGI,ABG Acquisition Corp. I,USA,NASDAQ,USD,Common Stock,KYG004961028
279,ABGOF,Abengoa S.A,USA,PINK,USD,Common Stock,
280,ABGOY,Abengoa S.A,USA,PINK,USD,Common Stock,
281,ABGSF,ABG Sundal Collier Holding ASA,USA,PINK,USD,Common Stock,
289,ABILF,Ability Inc,USA,PINK,USD,Common Stock,KYG8789K1242
292,ABIO,ARCA biopharma Inc,USA,NASDAQ,USD,Common Stock,US00211Y5069
293,ABIT,Athena Bitcoin Global,USA,PINK,USD,Common Stock,
296,ABKB,American Basketball Association Inc,USA,PINK,USD,Common Stock,
298,ABLE,Able Energy Inc,USA,OTCCE,USD,Common Stock,US0037091024
299,ABLGF,Alten S.A,USA,OTCGREY,USD,Common Stock,
302,ABLT,American Biltrite Inc,USA,PINK,USD,Common Stock,US0245911096
304,ABLZF,ABB Ltd,USA,PINK,USD,Common Stock,CH0012221716
305,ABM,ABM Industries Incorporated,USA,NYSE,USD,Common Stock,US0009571003
306,ABMAF,Albioma,USA,PINK,USD,Common Stock,
308,ABMBF,Abcourt Mines Inc,USA,PINK,USD,Common Stock,
309,ABMC,American Bio Medica Corporation,USA,OTCQB,USD,Common Stock,US0246001087
310,ABMD,Abiomed Inc,USA,NASDAQ,USD,Common Stock,US0036541003
312,ABML,American Battery Metals Corporation,USA,OTCQB,USD,Common Stock,US02451V1017
313,ABMRF,ABN AMRO Bank N.V,USA,PINK,USD,Common Stock,
314,ABMT,Advanced Biomedical Technologies Inc,USA,OTCQB,USD,Common Stock,US00752M1018
315,ABNAF,Aben Resources Ltd,USA,OTCQB,USD,Common Stock,CA00289T3064
317,ABNB,Airbnb Inc,USA,NASDAQ,USD,Common Stock,US0090661010
328,ABOIF,Aboitiz Equity Ventures Inc,USA,PINK,USD,Common Stock,
329,ABOS,"Acumen Pharmaceuticals, Inc. Common Stock",USA,NASDAQ,USD,Common Stock,US00509G2093
332,ABPR,Airborne Security & Protective Services Inc,USA,PINK,USD,Common Stock,US00927Q1022
338,ABQQ,AB International Group Corp,USA,OTCQB,USD,Common Stock,US00083U2024
343,ABR,Arbor Realty Trust Inc,USA,NYSE,USD,Common Stock,US0389231087
344,ABR-P-D,ABR-P-D,USA,NYSE,USD,Common Stock,
345,ABR-P-E,ABR-P-E,USA,NYSE,USD,Common Stock,
346,ABR-PD,Arbor Realty Trust Inc.,USA,NYSE,USD,Common Stock,
348,ABREP,Arbor Realty Trust Inc,USA,PINK,USD,Common Stock,
349,ABREV,Arbor Realty Trust Inc,USA,PINK,USD,Common Stock,
354,ABRRP,ABRRP,USA,PINK,USD,Common Stock,
358,ABRUF,American Pacific Borates Limited,USA,OTCGREY,USD,Common Stock,
365,ABSCF,AB Science S.A,USA,PINK,USD,Common Stock,
366,ABSI,Absci Corporation Common Stock,USA,NASDAQ,USD,Common Stock,US00091E1091
369,ABSOF,ABS-CBN Holdings Corporation,USA,OTCGREY,USD,Common Stock,
371,ABSSF,AirBoss of America Corp,USA,PINK,USD,Common Stock,
372,ABST,Absolute Software Corporation,USA,NASDAQ,USD,Common Stock,CA00386B1094
375,ABT,Abbott Laboratories,USA,NYSE,USD,Common Stock,US0028241000
380,ABTI,Alterola Biotech Inc,USA,PINK,USD,Common Stock,
382,ABTO,AB&T Financial Corp,USA,PINK,USD,Common Stock,
384,ABTX,Allegiance Bancshares Inc,USA,NASDAQ,USD,Common Stock,US01748H1077
387,ABTZY,Aboitiz Equity Ventures Inc,USA,PINK,USD,Common Stock,US0037253061
389,ABUS,Arbutus Biopharma Corporation,USA,NASDAQ,USD,Common Stock,CA03879J1003
391,ABVC,"ABVC Biopharma, Inc. Common Stock",USA,NASDAQ,USD,Common Stock,US00091F1066
393,ABVG,Affinity Beverage Group Inc,USA,OTCCE,USD,Common Stock,US00831F1012
396,ABVN,ABV Consulting Inc,USA,PINK,USD,Common Stock,US00083Q1022
403,ABWN,Airborne Wireless Network,USA,PINK,USD,Common Stock,US00928L3006
406,ABXXF,Abaxx Technologies Inc,USA,OTCQX,USD,Common Stock,CA00258V1004
413,ABZPF,Aboitiz Power Corporation,USA,PINK,USD,Common Stock,
414,ABZPY,Aboitiz Power Corporation,USA,PINK,USD,Common Stock,US0037301084
415,ABZT,Ablaze Technologies Inc,USA,OTCCE,USD,Common Stock,
417,AC,Associated Capital Group Inc,USA,NYSE,USD,Common Stock,US0455281065
418,ACA,Arcosa Inc,USA,NYSE,USD,Common Stock,US0396531008
420,ACACW,Acies Acquisition Corp,USA,NASDAQ,USD,Common Stock,
422,ACAD,ACADIA Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US0042251084
423,ACAH,Atlantic Coastal Acquisition Corp,USA,NASDAQ,USD,Common Stock,US0484531043
424,ACAHU,Atlantic Coastal Acquisition Corp,USA,NASDAQ,USD,Common Stock,US0484532033
425,ACAHW,Atlantic Coastal Acquisition Corp,USA,NASDAQ,USD,Common Stock,
426,ACAI,Safeplus International Holdings Limited,USA,PINK,USD,Common Stock,US78646R1068
427,ACAN,AmeriCann Inc,USA,OTCQB,USD,Common Stock,US0305881072
431,ACAVF,ACE Aviation Holdings Inc,USA,OTCGREY,USD,Common Stock,CA00440P4096
434,ACAZF,Acadian Timber Corp,USA,PINK,USD,Common Stock,CA0042721005
436,ACB,Aurora Cannabis Inc,USA,NASDAQ,USD,Common Stock,CA05156X8843
437,ACBAU,Ace Global Business Acquisition Limited,USA,NASDAQ,USD,Common Stock,VGG0083E1280
438,ACBAW,Ace Global Business Acquisition Limited,USA,NASDAQ,USD,Common Stock,
439,ACBCQ,Albina Community Bancorp,USA,PINK,USD,Common Stock,
440,ACBD,Annabidiol Corp,USA,PINK,USD,Common Stock,
441,ACBI,Atlantic Capital Bancshares Inc,USA,NASDAQ,USD,Common Stock,US0482692037
442,ACBM,Acro Biomedical Co. Ltd,USA,OTCQB,USD,Common Stock,US0048921052
445,ACC,American Campus Communities Inc,USA,NYSE,USD,Common Stock,US0248351001
446,ACCA,Acacia Diversified Holdings Inc,USA,PINK,USD,Common Stock,US00389L1044
449,ACCD,Accolade Inc,USA,NASDAQ,USD,Common Stock,US00437E1029
451,ACCFF,Accord Financial Corp,USA,PINK,USD,Common Stock,
456,ACCMF,AAC Clyde Space AB (publ),USA,OTCQX,USD,Common Stock,SE0009268154
458,ACCO,ACCO Brands Corporation,USA,NYSE,USD,Common Stock,US00081T1088
462,ACCR,Access-Power & Co. Inc,USA,PINK,USD,Common Stock,US00431N1081
468,ACCYY,Accor SA,USA,PINK,USD,Common Stock,US00435F3091
470,ACDSF,Ascendas Real Estate Investment Trust,USA,PINK,USD,Common Stock,
471,ACDVF,Air Canada,USA,OTCQX,USD,Common Stock,
474,ACEHF,PT Ace Hardware Indonesia Tbk,USA,OTCGREY,USD,Common Stock,
477,ACEJF,ACEA S.p.A,USA,OTCGREY,USD,Common Stock,
479,ACEL,Accel Entertainment Inc,USA,NYSE,USD,Common Stock,US00436Q1067
480,ACEL-WS,ACEL-WS,USA,NYSE,USD,Common Stock,
482,ACER,Acer Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00444P1084
486,ACET,Adicet Bio Inc,USA,NASDAQ,USD,Common Stock,US0070021086
488,ACEV,ACE Convergence Acquisition Corp,USA,NASDAQ,USD,Common Stock,KYG0083D1209
489,ACEVU,ACE Convergence Acquisition Corp,USA,NASDAQ,USD,Common Stock,KYG0083D1126
490,ACEVW,ACE Convergence Acquisition Corp,USA,NASDAQ,USD,Common Stock,
493,ACEYY,Acer Incorporated,USA,PINK,USD,Common Stock,
496,ACFFF,Accordia Golf Trust,USA,OTCGREY,USD,Common Stock,
500,ACFL,AMC Financial Holdings Inc,USA,PINK,USD,Common Stock,
501,ACFN,Acorn Energy Inc,USA,OTCQB,USD,Common Stock,US0048481073
505,ACGBF,Agricultural Bank of China Limited,USA,PINK,USD,Common Stock,CNE100000Q43
506,ACGBY,Agricultural Bank of China Limited,USA,PINK,USD,Common Stock,US00850M1027
509,ACGI,The Amacore Group Inc,USA,PINK,USD,Common Stock,
511,ACGJ,ACI Global Corporation,USA,OTCCE,USD,Common Stock,
513,ACGL,Arch Capital Group Ltd,USA,NASDAQ,USD,Common Stock,BMG0450A1053
514,ACGLL,Arch Capital Group Ltd,USA,PINK,USD,Common Stock,
515,ACGLN,Arch Capital Group Ltd,USA,NASDAQ,USD,Common Stock,
516,ACGLO,Arch Capital Group Ltd,USA,NASDAQ,USD,Common Stock,US03939A1079
517,ACGLP,Arch Capital Group Ltd,USA,NASDAQ,USD,Common Stock,US03939A2069
520,ACGPF,Accell Group N.V,USA,PINK,USD,Common Stock,
522,ACGX,Alliance Creative Group Inc,USA,PINK,USD,Common Stock,US01858T2069
523,ACGYF,Subsea 7 S.A,USA,PINK,USD,Common Stock,
526,ACH,Aluminum Corporation of China Limited,USA,NYSE,USD,Common Stock,US0222761092
527,ACHC,Acadia Healthcare Company Inc,USA,NASDAQ,USD,Common Stock,US00404A1097
528,ACHFF,Arch Biopartners Inc,USA,OTCQB,USD,Common Stock,
529,ACHKF,Achiko AG,USA,PINK,USD,Common Stock,
530,ACHL,Achilles Therapeutics plc,USA,NASDAQ,USD,Common Stock,US00449L1026
531,ACHV,Achieve Life Sciences Inc,USA,NASDAQ,USD,Common Stock,US0044685008
532,ACI,Albertsons Companies Inc,USA,NYSE,USD,Common Stock,US0130911037
533,ACIC,Atlas Crest Investment Corp,USA,NYSE,USD,Common Stock,US0492841020
534,ACIC-U,ACIC-U,USA,NYSE,USD,Common Stock,
535,ACIC-WS,ACIC-WS,USA,NYSE,USD,Common Stock,
536,ACII-U,ACII-U,USA,NYSE,USD,Common Stock,
537,ACII-WS,ACII-WS,USA,NYSE,USD,Common Stock,
544,ACIU,AC Immune SA,USA,NASDAQ,USD,Common Stock,CH0329023102
545,ACIW,ACI Worldwide Inc,USA,NASDAQ,USD,Common Stock,US0044981019
547,ACKAY,Arçelik Anonim Sirketi,USA,PINK,USD,Common Stock,US03937X1090
548,ACKDF,Auckland International Airport Limited,USA,PINK,USD,Common Stock,
549,ACKIT,Ackrell SPAC Partners I Co,USA,NASDAQ,USD,Common Stock,US00461L3033
550,ACKIU,Ackrell SPAC Partners I Co,USA,NASDAQ,USD,Common Stock,US00461L2043
551,ACKIW,Ackrell SPAC Partners I Co,USA,NASDAQ,USD,Common Stock,
554,ACKRF,American Creek Resources Ltd,USA,PINK,USD,Common Stock,
557,ACLD,Acquire Ltd,USA,PINK,USD,Common Stock,
560,ACLHF,ACME Lithium Inc,USA,PINK,USD,Common Stock,
562,ACLLF,ATCO Ltd,USA,PINK,USD,Common Stock,
566,ACLS,Axcelis Technologies Inc,USA,NASDAQ,USD,Common Stock,US0545402085
567,ACLTF,ATCO Ltd,USA,OTCGREY,USD,Common Stock,
570,ACM,AECOM,USA,NYSE,USD,Common Stock,US00766T1007
572,ACMB,Agro Capital Management Corp,USA,PINK,USD,Common Stock,
573,ACMC,American Church Mortgage Company,USA,PINK,USD,Common Stock,US02513P1003
576,ACMDY,Atlas Consolidated Mining and Development Corporation,USA,PINK,USD,Common Stock,
578,ACMLF,Ascom Holding AG,USA,OTCGREY,USD,Common Stock,
579,ACMR,ACM Research Inc,USA,NASDAQ,USD,Common Stock,US00108J1097
581,ACMSY,Accustem Sciences Limited,USA,PINK,USD,Common Stock,
582,ACMT,ACMAT Corporation,USA,PINK,USD,Common Stock,US0046161081
583,ACMTA,ACMAT Corporation,USA,PINK,USD,Common Stock,US0046162071
587,ACN,Accenture plc,USA,NYSE,USD,Common Stock,IE00B4BNMY34
588,ACNB,ACNB Corporation,USA,NASDAQ,USD,Common Stock,US0008681092
589,ACND,Ascendant Digital Acquisition Corp,USA,NYSE,USD,Common Stock,US57064P1075
590,ACNDF,Ascendas India Trust,USA,PINK,USD,Common Stock,
591,ACNE,Alice Consolidated Mines Inc,USA,PINK,USD,Common Stock,US0160961092
592,ACNFF,Amsterdam Commodities N.V,USA,OTCGREY,USD,Common Stock,NL0000313286
593,ACNI,American Community Newspapers Inc,USA,OTCCE,USD,Common Stock,
594,ACNNF,AusCann Group Holdings Ltd,USA,PINK,USD,Common Stock,
595,ACNV,Accelera Innovations Inc,USA,PINK,USD,Common Stock,
598,ACOGF,Alpha Cognition Inc,USA,PINK,USD,Common Stock,
599,ACOPF,The a2 Milk Company Limited,USA,PINK,USD,Common Stock,
600,ACOPY,The a2 Milk Company Limited,USA,PINK,USD,Common Stock,US0022011011
601,ACOR,Acorda Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00484M6012
602,ACOSF,Archos S.A,USA,OTCGREY,USD,Common Stock,
605,ACP-P-A,ACP-P-A,USA,NYSE,USD,Common Stock,
606,ACP-PA,Aberdeen Income Credit Strategies Fund,USA,NYSE,USD,Common Stock,
607,ACPGF,Acacia Pharma Group plc,USA,PINK,USD,Common Stock,
608,ACPRF,ArcPacific Resources Corp,USA,PINK,USD,Common Stock,
609,ACPS,AC Partners Inc,USA,PINK,USD,Common Stock,
611,ACQR,Independence Holdings Corp,USA,NASDAQ,USD,Common Stock,KYG4761A1013
612,ACQRU,Independence Holdings Corp,USA,NASDAQ,USD,Common Stock,KYG4761A1195
613,ACQRW,Independence Holdings Corp,USA,NASDAQ,USD,Common Stock,
614,ACR,ACRES Commercial Realty Corp,USA,NYSE,USD,Common Stock,US00489Q1022
615,ACR-P-D,ACR-P-D,USA,NYSE,USD,Common Stock,
616,ACR-PC,ACRES Commercial Realty Corp,USA,NYSE,USD,Preferred Share,
617,ACR-PD,ACRES Commercial Realty Corp.,USA,NYSE,USD,Common Stock,
618,ACRB,Asia Carbon Industries Inc,USA,PINK,USD,Common Stock,
619,ACRDF,Acreage Holdings Inc,USA,OTCQX,USD,Common Stock,
620,ACRDP,ACRES Commercial Realty Corp,USA,PINK,USD,Common Stock,
621,ACRE,Ares Commercial Real Estate Corporation,USA,NYSE,USD,Common Stock,US04013V1089
622,ACRFF,Accor SA,USA,PINK,USD,Common Stock,
623,ACRHF,Acreage Holdings Inc,USA,OTCQX,USD,Common Stock,CA00489Y6001
625,ACRL,Atacama Resources International Inc,USA,PINK,USD,Common Stock,US04651H1068
627,ACRS,Aclaris Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00461U1051
629,ACRX,AcelRx Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US00444T1007
630,ACSAF,ACS Actividades de Construcción y Servicios S.A,USA,PINK,USD,Common Stock,
631,ACSAY,ACS Actividades de Construcción y Servicios S.A,USA,PINK,USD,Common Stock,US00089H1068
634,ACSEF,ACS Motion Control Ltd,USA,PINK,USD,Common Stock,USM017731060
645,ACST,Acasti Pharma Inc,USA,NASDAQ,USD,Common Stock,CA00430K4028
648,ACSYF,Accsys Technologies PLC,USA,OTCGREY,USD,Common Stock,
650,ACTCW,ArcLight Clean Transition Corp,USA,NASDAQ,USD,Common Stock,
651,ACTD,ArcLight Clean Transition Corp. II,USA,NASDAQ,USD,Common Stock,KYG0R21B1044
652,ACTDU,ArcLight Clean Transition Corp. II,USA,NASDAQ,USD,Common Stock,KYG0R21B1200
653,ACTDW,ArcLight Clean Transition Corp. II,USA,NASDAQ,USD,Common Stock,
656,ACTG,Acacia Research Corporation,USA,NASDAQ,USD,Common Stock,US0038813079
657,ACTHF,Aduro Clean Technologies Inc,USA,OTCQB,USD,Common Stock,
660,ACTL,Artec Global Media Inc,USA,PINK,USD,Common Stock,US04300F1057
673,ACTX,Advanced Container Technologies Inc,USA,PINK,USD,Common Stock,US00791F1093
674,ACU,Acme United Corporation,USA,NYSE MKT,USD,Common Stock,US0048161048
676,ACUR,Acura Pharmaceuticals Inc,USA,OTCQB,USD,Common Stock,US00509L8028
677,ACUS,Acusphere Inc,USA,PINK,USD,Common Stock,US00511R8549
680,ACVA,ACV Auctions Inc,USA,NASDAQ,USD,Common Stock,US00091G1040
698,ACWRF,Acceleware Ltd,USA,PINK,USD,Common Stock,CA00433V1085
704,ACXIF,Acciona S.A,USA,PINK,USD,Common Stock,
706,ACXP,"Acurx Pharmaceuticals, Inc. Common Stock",USA,NASDAQ,USD,Common Stock,US00510M1045
708,ACY,AeroCentury Corp,USA,NYSE MKT,USD,Common Stock,US0077371096
714,ADAD,Huaizhong Health Group Inc,USA,PINK,USD,Common Stock,
715,ADAG,Adagene Inc,USA,NASDAQ,USD,Common Stock,US0053291078
718,ADAP,Adaptimmune Therapeutics plc,USA,NASDAQ,USD,Common Stock,US00653A1079
721,ADBCF,Adbri Limited,USA,PINK,USD,Common Stock,
722,ADBE,Adobe Inc,USA,NASDAQ,USD,Common Stock,US00724F1012
723,ADBKF,Addiko Bank AG,USA,PINK,USD,Common Stock,
725,ADBN,Americana Distribution Inc,USA,OTCCE,USD,Common Stock,
726,ADBRF,Aldebaran Resources Inc,USA,PINK,USD,Common Stock,
727,ADC,Agree Realty Corporation,USA,NYSE,USD,Common Stock,US0084921008
730,ADCOF,Adcore Inc,USA,PINK,USD,Common Stock,
731,ADCT,ADC Therapeutics SA,USA,NYSE,USD,Common Stock,CH0499880968
732,ADCUF,ADS Maritime Holding Plc,USA,PINK,USD,Common Stock,
733,ADCV,ADCapital US Inc,USA,PINK,USD,Common Stock,
736,ADDC,Addmaster Corporation,USA,PINK,USD,Common Stock,
737,ADDDF,adidas AG,USA,OTCQX,USD,Common Stock,DE000A1EWWW0
738,ADDLF,AddLife AB (publ),USA,PINK,USD,Common Stock,
740,ADDXF,Addex Therapeutics Ltd,USA,OTCGREY,USD,Common Stock,
741,ADDYY,adidas AG,USA,OTCQX,USD,Common Stock,US00687A1079
742,ADEC,Alternative Energy Development Corp,USA,OTCCE,USD,Common Stock,
745,ADER,26 Capital Acquisition Corp,USA,NASDAQ,USD,Common Stock,US90138P1003
746,ADERU,26 Capital Acquisition Corp,USA,NASDAQ,USD,Common Stock,US90138P2092
747,ADERW,26 Capital Acquisition Corp,USA,NASDAQ,USD,Common Stock,
748,ADERY,Aida Engineering Ltd,USA,PINK,USD,Common Stock,US0087122000
749,ADES,Advanced Emissions Solutions Inc,USA,NASDAQ,USD,Common Stock,US00770C1018
750,ADEVF,Adevinta ASA,USA,PINK,USD,Common Stock,
751,ADEX-U,ADEX-U,USA,NYSE,USD,Common Stock,
752,ADEX-WS,ADEX-WS,USA,NYSE,USD,Common Stock,
753,ADF-U,ADF-U,USA,NYSE,USD,Common Stock,
754,ADF-WS,ADF-WS,USA,NYSE,USD,Common Stock,
758,ADFJF,ADF Group Inc,USA,OTCGREY,USD,Common Stock,
759,ADFS,American Defense Systems Inc,USA,PINK,USD,Common Stock,US0253511077
760,ADFT,Adfitech Inc,USA,PINK,USD,Common Stock,
762,ADGCF,Advance Gold Corp,USA,PINK,USD,Common Stock,
767,ADGL,AllDigital Holdings Inc,USA,OTCCE,USD,Common Stock,
768,ADGO,Advantego  Corporation,USA,PINK,USD,Common Stock,US00775N1028
772,ADHC,American Diversified Holdings Corporation,USA,PINK,USD,Common Stock,US02541R3003
773,ADHG,Ando Holdings Ltd,USA,PINK,USD,Common Stock,
774,ADHLF,Applied Development Holdings Limited,USA,OTCGREY,USD,Common Stock,
775,ADI,Analog Devices Inc,USA,NASDAQ,USD,Common Stock,US0326541051
776,ADIA,Adia Nutrition Inc,USA,PINK,USD,Common Stock,
777,ADIL,Adial Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US00688A1060
778,ADILW,Adial Pharmaceuticals Inc. WT EXP 073123,USA,NASDAQ,USD,Common Stock,
781,ADIWW,Adial Pharmaceuticals Inc,USA,PINK,USD,Common Stock,
784,ADKCF,Adeka Corporation,USA,OTCGREY,USD,Common Stock,
785,ADKIL,Adkins Energy LLC,USA,OTCGREY,USD,Common Stock,
787,ADKT,The Adirondack Trust Company,USA,PINK,USD,Common Stock,
788,ADLDY,Adbri Limited,USA,PINK,USD,Common Stock,US00653T1060
789,ADLI,American Medical Technologies Inc,USA,OTCCE,USD,Common Stock,US02744X1046
792,ADM,Archer-Daniels-Midland Company,USA,NYSE,USD,Common Stock,US0394831020
793,ADMA,ADMA Biologics Inc,USA,NASDAQ,USD,Common Stock,US0008991046
795,ADMG,Adamant DRI Processing and Minerals Group,USA,PINK,USD,Common Stock,US00548B1044
796,ADMLF,Adriatic Metals PLC,USA,PINK,USD,Common Stock,
797,ADMP,Adamis Pharmaceuticals Corporation,USA,NASDAQ,USD,Common Stock,US00547W2089
798,ADMQ,ADM Endeavors Inc,USA,OTCQB,USD,Common Stock,
800,ADMS,Adamas Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US00548A1060
801,ADMT,ADM Tronics Unlimited Inc,USA,OTCQB,USD,Common Stock,US0010041004
