,Code,Name,Country,Exchange,Currency,Type,Isin
155,AAMAF,Atlas Mara Limited,USA,PINK,USD,Common Stock,
167,AAMC,Altisource Asset Management Corporation,USA,NYSE MKT,USD,Common Stock,VI02153X1080
169,AAME,Atlantic American Corporation,USA,NASDAQ,USD,Common Stock,US0482091008
181,AAMMF,Almadex Minerals Ltd,USA,PINK,USD,Common Stock,
183,AAMTF,Armada Mercantile Ltd,USA,PINK,USD,Common Stock,
185,AAN,The Aaron's Company Inc,USA,NYSE,USD,Common Stock,US00258W1080
186,AANNF,Aroundtown SA,USA,PINK,USD,Common Stock,
188,AAOI,Applied Optoelectronics Inc,USA,NASDAQ,USD,Common Stock,US03823U1025
189,AAON,AAON Inc,USA,NASDAQ,USD,Common Stock,US0003602069
193,AAP,Advance Auto Parts Inc,USA,NYSE,USD,Common Stock,US00751Y1064
194,AAPJ,AAP Inc,USA,PINK,USD,Common Stock,US00037T1034
195,AAPL,Apple Inc,USA,NASDAQ,USD,Common Stock,US0378331005
196,AAPT,All American Pet Company Inc,USA,PINK,USD,Common Stock,US01644F1066
197,AAQC,Accelerate Acquisition Corp,USA,NYSE,USD,Common Stock,US00439D1028
198,AAQC-WT,AAQC-WT,USA,NYSE,USD,Common Stock,
200,AASL,America's Suppliers Inc,USA,PINK,USD,Common Stock,
203,AASP,Global Acquisitions Corporation,USA,PINK,USD,Common Stock,US01643P1057
207,AASZF,Atlantic Sapphire ASA,USA,OTCQX,USD,Common Stock,
208,AAT,American Assets Trust Inc,USA,NYSE,USD,Common Stock,US0240131047
209,AATC,Image Sensing Systems Inc,USA,NASDAQ,USD,Common Stock,US0533061067
210,AATGF,ATI Airtest Technologies Inc,USA,PINK,USD,Common Stock,
212,AATRL,Amg Capital Trust II,USA,PINK,USD,Common Stock,US00170F2092
214,AATV,Adaptive Ad Systems Inc,USA,PINK,USD,Common Stock,US00650A1007
215,AAU,Almaden Minerals Ltd,USA,NYSE MKT,USD,Common Stock,CA0202833053
216,AAUGF,Angold Resources Ltd,USA,OTCQB,USD,Common Stock,
217,AAUKF,Anglo American plc,USA,OTCQX,USD,Common Stock,USG037641002
220,AAVMY,ABN AMRO Bank N.V,USA,PINK,USD,Common Stock,
221,AAVVF,Advantage Energy Ltd,USA,PINK,USD,Common Stock,CA00791P1071
222,AAVXF,ABIVAX Société Anonyme,USA,PINK,USD,Common Stock,
224,AAWH,Ascend Wellness Holdings Inc,USA,OTCQX,USD,Common Stock,
226,AAWW,Atlas Air Worldwide Holdings Inc,USA,NASDAQ,USD,Common Stock,US0491642056
228,AAXT,Aamaxan Transport Group Inc,USA,OTCCE,USD,Common Stock,
233,AAZZD,A2Z Smart Technologies Corp,USA,OTCQB,USD,Common Stock,
234,AAZZF,A2Z Smart Technologies Corp,USA,OTCQX,USD,Common Stock,CA0022091049
235,AB,AllianceBernstein Holding L.P,USA,NYSE,USD,Common Stock,US01881G1067
237,ABAKF,Aberdeen Asia-Pacific Income Investment Company Limited,USA,OTCGREY,USD,Common Stock,
239,ABANF,Automatic Bank Services Limited,USA,PINK,USD,Common Stock,
241,ABB,ABB Ltd,USA,NYSE,USD,Common Stock,US0003752047
242,ABBB,Auburn Bancorp Inc,USA,PINK,USD,Common Stock,US0502541016
243,ABBRF,AbraSilver Resource Corp,USA,OTCQX,USD,Common Stock,CA00379L1067
244,ABBV,AbbVie Inc,USA,NYSE,USD,Common Stock,US00287Y1091
245,ABBY,Abby Inc,USA,PINK,USD,Common Stock,US00287T3086
246,ABC,AmerisourceBergen Corporation,USA,NYSE,USD,Common Stock,US03073E1055
247,ABCAF,Athabasca Minerals Inc,USA,PINK,USD,Common Stock,
249,ABCB,Ameris Bancorp,USA,NASDAQ,USD,Common Stock,US03076K1088
251,ABCE,ABCO Energy Inc,USA,PINK,USD,Common Stock,US00287V4023
253,ABCFF,Abacus Mining & Exploration Corporation,USA,PINK,USD,Common Stock,
255,ABCL,AbCellera Biologics Inc,USA,NASDAQ,USD,Common Stock,CA00288U1066
256,ABCM,Abcam plc,USA,NASDAQ,USD,Common Stock,US0003802040
257,ABCP,AmBase Corporation,USA,PINK,USD,Common Stock,US0231641061
262,ABCZF,Abcam plc,USA,PINK,USD,Common Stock,
264,ABDDF,AB Dynamics plc,USA,PINK,USD,Common Stock,
265,ABDR,Ambassador Food Services Corp,USA,PINK,USD,Common Stock,US0229091055
269,ABEO,Abeona Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00289Y1073
270,ABEPF,Vision Lithium Inc,USA,OTCQB,USD,Common Stock,
273,ABETF,Supernova Metals Corp,USA,OTCGREY,USD,Common Stock,
274,ABEV,Ambev S.A,USA,NYSE,USD,Common Stock,US02319V1035
277,ABG,Asbury Automotive Group Inc,USA,NYSE,USD,Common Stock,US0434361046
278,ABGI,ABG Acquisition Corp. I,USA,NASDAQ,USD,Common Stock,KYG004961028
280,ABGOF,Abengoa S.A,USA,PINK,USD,Common Stock,
281,ABGOY,Abengoa S.A,USA,PINK,USD,Common Stock,
282,ABGSF,ABG Sundal Collier Holding ASA,USA,PINK,USD,Common Stock,
290,ABILF,Ability Inc,USA,PINK,USD,Common Stock,KYG8789K1242
293,ABIO,ARCA biopharma Inc,USA,NASDAQ,USD,Common Stock,US00211Y5069
294,ABIT,Athena Bitcoin Global,USA,PINK,USD,Common Stock,
297,ABKB,American Basketball Association Inc,USA,PINK,USD,Common Stock,
299,ABLE,Able Energy Inc,USA,OTCCE,USD,Common Stock,US0037091024
300,ABLGF,Alten S.A,USA,OTCGREY,USD,Common Stock,
303,ABLT,American Biltrite Inc,USA,PINK,USD,Common Stock,US0245911096
305,ABLZF,ABB Ltd,USA,PINK,USD,Common Stock,CH0012221716
306,ABM,ABM Industries Incorporated,USA,NYSE,USD,Common Stock,US0009571003
307,ABMAF,Albioma,USA,PINK,USD,Common Stock,
309,ABMBF,Abcourt Mines Inc,USA,PINK,USD,Common Stock,
310,ABMC,American Bio Medica Corporation,USA,OTCQB,USD,Common Stock,US0246001087
311,ABMD,Abiomed Inc,USA,NASDAQ,USD,Common Stock,US0036541003
313,ABML,American Battery Metals Corporation,USA,OTCQB,USD,Common Stock,US02451V1017
314,ABMRF,ABN AMRO Bank N.V,USA,PINK,USD,Common Stock,
315,ABMT,Advanced Biomedical Technologies Inc,USA,OTCQB,USD,Common Stock,US00752M1018
316,ABNAF,Aben Resources Ltd,USA,OTCQB,USD,Common Stock,CA00289T3064
318,ABNB,Airbnb Inc,USA,NASDAQ,USD,Common Stock,US0090661010
329,ABOIF,Aboitiz Equity Ventures Inc,USA,PINK,USD,Common Stock,
330,ABOS,"Acumen Pharmaceuticals, Inc. Common Stock",USA,NASDAQ,USD,Common Stock,US00509G2093
333,ABPR,Airborne Security & Protective Services Inc,USA,PINK,USD,Common Stock,US00927Q1022
339,ABQQ,AB International Group Corp,USA,OTCQB,USD,Common Stock,US00083U2024
344,ABR,Arbor Realty Trust Inc,USA,NYSE,USD,Common Stock,US0389231087
345,ABR-P-D,ABR-P-D,USA,NYSE,USD,Common Stock,
346,ABR-P-E,ABR-P-E,USA,NYSE,USD,Common Stock,
347,ABR-PD,Arbor Realty Trust Inc.,USA,NYSE,USD,Common Stock,
349,ABREP,Arbor Realty Trust Inc,USA,PINK,USD,Common Stock,
350,ABREV,Arbor Realty Trust Inc,USA,PINK,USD,Common Stock,
355,ABRRP,ABRRP,USA,PINK,USD,Common Stock,
359,ABRUF,American Pacific Borates Limited,USA,OTCGREY,USD,Common Stock,
366,ABSCF,AB Science S.A,USA,PINK,USD,Common Stock,
367,ABSI,Absci Corporation Common Stock,USA,NASDAQ,USD,Common Stock,US00091E1091
370,ABSOF,ABS-CBN Holdings Corporation,USA,OTCGREY,USD,Common Stock,
372,ABSSF,AirBoss of America Corp,USA,PINK,USD,Common Stock,
373,ABST,Absolute Software Corporation,USA,NASDAQ,USD,Common Stock,CA00386B1094
376,ABT,Abbott Laboratories,USA,NYSE,USD,Common Stock,US0028241000
381,ABTI,Alterola Biotech Inc,USA,PINK,USD,Common Stock,
383,ABTO,AB&T Financial Corp,USA,PINK,USD,Common Stock,
385,ABTX,Allegiance Bancshares Inc,USA,NASDAQ,USD,Common Stock,US01748H1077
388,ABTZY,Aboitiz Equity Ventures Inc,USA,PINK,USD,Common Stock,US0037253061
390,ABUS,Arbutus Biopharma Corporation,USA,NASDAQ,USD,Common Stock,CA03879J1003
392,ABVC,"ABVC Biopharma, Inc. Common Stock",USA,NASDAQ,USD,Common Stock,US00091F1066
394,ABVG,Affinity Beverage Group Inc,USA,OTCCE,USD,Common Stock,US00831F1012
397,ABVN,ABV Consulting Inc,USA,PINK,USD,Common Stock,US00083Q1022
404,ABWN,Airborne Wireless Network,USA,PINK,USD,Common Stock,US00928L3006
407,ABXXF,Abaxx Technologies Inc,USA,OTCQX,USD,Common Stock,CA00258V1004
414,ABZPF,Aboitiz Power Corporation,USA,PINK,USD,Common Stock,
415,ABZPY,Aboitiz Power Corporation,USA,PINK,USD,Common Stock,US0037301084
416,ABZT,Ablaze Technologies Inc,USA,OTCCE,USD,Common Stock,
418,AC,Associated Capital Group Inc,USA,NYSE,USD,Common Stock,US0455281065
419,ACA,Arcosa Inc,USA,NYSE,USD,Common Stock,US0396531008
421,ACACW,Acies Acquisition Corp,USA,NASDAQ,USD,Common Stock,
423,ACAD,ACADIA Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US0042251084
424,ACAH,Atlantic Coastal Acquisition Corp,USA,NASDAQ,USD,Common Stock,US0484531043
425,ACAHU,Atlantic Coastal Acquisition Corp,USA,NASDAQ,USD,Common Stock,US0484532033
426,ACAHW,Atlantic Coastal Acquisition Corp,USA,NASDAQ,USD,Common Stock,
427,ACAI,Safeplus International Holdings Limited,USA,PINK,USD,Common Stock,US78646R1068
428,ACAN,AmeriCann Inc,USA,OTCQB,USD,Common Stock,US0305881072
432,ACAVF,ACE Aviation Holdings Inc,USA,OTCGREY,USD,Common Stock,CA00440P4096
435,ACAZF,Acadian Timber Corp,USA,PINK,USD,Common Stock,CA0042721005
437,ACB,Aurora Cannabis Inc,USA,NASDAQ,USD,Common Stock,CA05156X8843
438,ACBAU,Ace Global Business Acquisition Limited,USA,NASDAQ,USD,Common Stock,VGG0083E1280
439,ACBAW,Ace Global Business Acquisition Limited,USA,NASDAQ,USD,Common Stock,
440,ACBCQ,Albina Community Bancorp,USA,PINK,USD,Common Stock,
441,ACBD,Annabidiol Corp,USA,PINK,USD,Common Stock,
442,ACBI,Atlantic Capital Bancshares Inc,USA,NASDAQ,USD,Common Stock,US0482692037
443,ACBM,Acro Biomedical Co. Ltd,USA,OTCQB,USD,Common Stock,US0048921052
446,ACC,American Campus Communities Inc,USA,NYSE,USD,Common Stock,US0248351001
447,ACCA,Acacia Diversified Holdings Inc,USA,PINK,USD,Common Stock,US00389L1044
450,ACCD,Accolade Inc,USA,NASDAQ,USD,Common Stock,US00437E1029
452,ACCFF,Accord Financial Corp,USA,PINK,USD,Common Stock,
457,ACCMF,AAC Clyde Space AB (publ),USA,OTCQX,USD,Common Stock,SE0009268154
459,ACCO,ACCO Brands Corporation,USA,NYSE,USD,Common Stock,US00081T1088
463,ACCR,Access-Power & Co. Inc,USA,PINK,USD,Common Stock,US00431N1081
469,ACCYY,Accor SA,USA,PINK,USD,Common Stock,US00435F3091
471,ACDSF,Ascendas Real Estate Investment Trust,USA,PINK,USD,Common Stock,
472,ACDVF,Air Canada,USA,OTCQX,USD,Common Stock,
475,ACEHF,PT Ace Hardware Indonesia Tbk,USA,OTCGREY,USD,Common Stock,
478,ACEJF,ACEA S.p.A,USA,OTCGREY,USD,Common Stock,
480,ACEL,Accel Entertainment Inc,USA,NYSE,USD,Common Stock,US00436Q1067
481,ACEL-WS,ACEL-WS,USA,NYSE,USD,Common Stock,
483,ACER,Acer Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00444P1084
487,ACET,Adicet Bio Inc,USA,NASDAQ,USD,Common Stock,US0070021086
489,ACEV,ACE Convergence Acquisition Corp,USA,NASDAQ,USD,Common Stock,KYG0083D1209
490,ACEVU,ACE Convergence Acquisition Corp,USA,NASDAQ,USD,Common Stock,KYG0083D1126
491,ACEVW,ACE Convergence Acquisition Corp,USA,NASDAQ,USD,Common Stock,
494,ACEYY,Acer Incorporated,USA,PINK,USD,Common Stock,
497,ACFFF,Accordia Golf Trust,USA,OTCGREY,USD,Common Stock,
501,ACFL,AMC Financial Holdings Inc,USA,PINK,USD,Common Stock,
502,ACFN,Acorn Energy Inc,USA,OTCQB,USD,Common Stock,US0048481073
506,ACGBF,Agricultural Bank of China Limited,USA,PINK,USD,Common Stock,CNE100000Q43
507,ACGBY,Agricultural Bank of China Limited,USA,PINK,USD,Common Stock,US00850M1027
510,ACGI,The Amacore Group Inc,USA,PINK,USD,Common Stock,
512,ACGJ,ACI Global Corporation,USA,OTCCE,USD,Common Stock,
514,ACGL,Arch Capital Group Ltd,USA,NASDAQ,USD,Common Stock,BMG0450A1053
515,ACGLL,Arch Capital Group Ltd,USA,PINK,USD,Common Stock,
516,ACGLN,Arch Capital Group Ltd,USA,NASDAQ,USD,Common Stock,
517,ACGLO,Arch Capital Group Ltd,USA,NASDAQ,USD,Common Stock,US03939A1079
518,ACGLP,Arch Capital Group Ltd,USA,NASDAQ,USD,Common Stock,US03939A2069
521,ACGPF,Accell Group N.V,USA,PINK,USD,Common Stock,
523,ACGX,Alliance Creative Group Inc,USA,PINK,USD,Common Stock,US01858T2069
524,ACGYF,Subsea 7 S.A,USA,PINK,USD,Common Stock,
527,ACH,Aluminum Corporation of China Limited,USA,NYSE,USD,Common Stock,US0222761092
528,ACHC,Acadia Healthcare Company Inc,USA,NASDAQ,USD,Common Stock,US00404A1097
529,ACHFF,Arch Biopartners Inc,USA,OTCQB,USD,Common Stock,
530,ACHKF,Achiko AG,USA,PINK,USD,Common Stock,
531,ACHL,Achilles Therapeutics plc,USA,NASDAQ,USD,Common Stock,US00449L1026
532,ACHV,Achieve Life Sciences Inc,USA,NASDAQ,USD,Common Stock,US0044685008
533,ACI,Albertsons Companies Inc,USA,NYSE,USD,Common Stock,US0130911037
534,ACIC,Atlas Crest Investment Corp,USA,NYSE,USD,Common Stock,US0492841020
535,ACIC-U,ACIC-U,USA,NYSE,USD,Common Stock,
536,ACIC-WS,ACIC-WS,USA,NYSE,USD,Common Stock,
537,ACII-U,ACII-U,USA,NYSE,USD,Common Stock,
538,ACII-WS,ACII-WS,USA,NYSE,USD,Common Stock,
545,ACIU,AC Immune SA,USA,NASDAQ,USD,Common Stock,CH0329023102
546,ACIW,ACI Worldwide Inc,USA,NASDAQ,USD,Common Stock,US0044981019
548,ACKAY,Arçelik Anonim Sirketi,USA,PINK,USD,Common Stock,US03937X1090
549,ACKDF,Auckland International Airport Limited,USA,PINK,USD,Common Stock,
550,ACKIT,Ackrell SPAC Partners I Co,USA,NASDAQ,USD,Common Stock,US00461L3033
551,ACKIU,Ackrell SPAC Partners I Co,USA,NASDAQ,USD,Common Stock,US00461L2043
552,ACKIW,Ackrell SPAC Partners I Co,USA,NASDAQ,USD,Common Stock,
555,ACKRF,American Creek Resources Ltd,USA,PINK,USD,Common Stock,
558,ACLD,Acquire Ltd,USA,PINK,USD,Common Stock,
561,ACLHF,ACME Lithium Inc,USA,PINK,USD,Common Stock,
563,ACLLF,ATCO Ltd,USA,PINK,USD,Common Stock,
567,ACLS,Axcelis Technologies Inc,USA,NASDAQ,USD,Common Stock,US0545402085
568,ACLTF,ATCO Ltd,USA,OTCGREY,USD,Common Stock,
571,ACM,AECOM,USA,NYSE,USD,Common Stock,US00766T1007
573,ACMB,Agro Capital Management Corp,USA,PINK,USD,Common Stock,
574,ACMC,American Church Mortgage Company,USA,PINK,USD,Common Stock,US02513P1003
577,ACMDY,Atlas Consolidated Mining and Development Corporation,USA,PINK,USD,Common Stock,
579,ACMLF,Ascom Holding AG,USA,OTCGREY,USD,Common Stock,
580,ACMR,ACM Research Inc,USA,NASDAQ,USD,Common Stock,US00108J1097
582,ACMSY,Accustem Sciences Limited,USA,PINK,USD,Common Stock,
583,ACMT,ACMAT Corporation,USA,PINK,USD,Common Stock,US0046161081
584,ACMTA,ACMAT Corporation,USA,PINK,USD,Common Stock,US0046162071
588,ACN,Accenture plc,USA,NYSE,USD,Common Stock,IE00B4BNMY34
589,ACNB,ACNB Corporation,USA,NASDAQ,USD,Common Stock,US0008681092
590,ACND,Ascendant Digital Acquisition Corp,USA,NYSE,USD,Common Stock,US57064P1075
591,ACNDF,Ascendas India Trust,USA,PINK,USD,Common Stock,
592,ACNE,Alice Consolidated Mines Inc,USA,PINK,USD,Common Stock,US0160961092
593,ACNFF,Amsterdam Commodities N.V,USA,OTCGREY,USD,Common Stock,NL0000313286
594,ACNI,American Community Newspapers Inc,USA,OTCCE,USD,Common Stock,
595,ACNNF,AusCann Group Holdings Ltd,USA,PINK,USD,Common Stock,
596,ACNV,Accelera Innovations Inc,USA,PINK,USD,Common Stock,
599,ACOGF,Alpha Cognition Inc,USA,PINK,USD,Common Stock,
600,ACOPF,The a2 Milk Company Limited,USA,PINK,USD,Common Stock,
601,ACOPY,The a2 Milk Company Limited,USA,PINK,USD,Common Stock,US0022011011
602,ACOR,Acorda Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00484M6012
603,ACOSF,Archos S.A,USA,OTCGREY,USD,Common Stock,
606,ACP-P-A,ACP-P-A,USA,NYSE,USD,Common Stock,
607,ACP-PA,Aberdeen Income Credit Strategies Fund,USA,NYSE,USD,Common Stock,
608,ACPGF,Acacia Pharma Group plc,USA,PINK,USD,Common Stock,
609,ACPRF,ArcPacific Resources Corp,USA,PINK,USD,Common Stock,
610,ACPS,AC Partners Inc,USA,PINK,USD,Common Stock,
612,ACQR,Independence Holdings Corp,USA,NASDAQ,USD,Common Stock,KYG4761A1013
613,ACQRU,Independence Holdings Corp,USA,NASDAQ,USD,Common Stock,KYG4761A1195
614,ACQRW,Independence Holdings Corp,USA,NASDAQ,USD,Common Stock,
615,ACR,ACRES Commercial Realty Corp,USA,NYSE,USD,Common Stock,US00489Q1022
616,ACR-P-D,ACR-P-D,USA,NYSE,USD,Common Stock,
617,ACR-PC,ACRES Commercial Realty Corp,USA,NYSE,USD,Preferred Share,
618,ACR-PD,ACRES Commercial Realty Corp.,USA,NYSE,USD,Common Stock,
619,ACRB,Asia Carbon Industries Inc,USA,PINK,USD,Common Stock,
620,ACRDF,Acreage Holdings Inc,USA,OTCQX,USD,Common Stock,
621,ACRDP,ACRES Commercial Realty Corp,USA,PINK,USD,Common Stock,
622,ACRE,Ares Commercial Real Estate Corporation,USA,NYSE,USD,Common Stock,US04013V1089
623,ACRFF,Accor SA,USA,PINK,USD,Common Stock,
624,ACRHF,Acreage Holdings Inc,USA,OTCQX,USD,Common Stock,CA00489Y6001
626,ACRL,Atacama Resources International Inc,USA,PINK,USD,Common Stock,US04651H1068
628,ACRS,Aclaris Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00461U1051
630,ACRX,AcelRx Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US00444T1007
631,ACSAF,ACS Actividades de Construcción y Servicios S.A,USA,PINK,USD,Common Stock,
632,ACSAY,ACS Actividades de Construcción y Servicios S.A,USA,PINK,USD,Common Stock,US00089H1068
635,ACSEF,ACS Motion Control Ltd,USA,PINK,USD,Common Stock,USM017731060
646,ACST,Acasti Pharma Inc,USA,NASDAQ,USD,Common Stock,CA00430K4028
649,ACSYF,Accsys Technologies PLC,USA,OTCGREY,USD,Common Stock,
651,ACTCW,ArcLight Clean Transition Corp,USA,NASDAQ,USD,Common Stock,
652,ACTD,ArcLight Clean Transition Corp. II,USA,NASDAQ,USD,Common Stock,KYG0R21B1044
653,ACTDU,ArcLight Clean Transition Corp. II,USA,NASDAQ,USD,Common Stock,KYG0R21B1200
654,ACTDW,ArcLight Clean Transition Corp. II,USA,NASDAQ,USD,Common Stock,
657,ACTG,Acacia Research Corporation,USA,NASDAQ,USD,Common Stock,US0038813079
658,ACTHF,Aduro Clean Technologies Inc,USA,OTCQB,USD,Common Stock,
661,ACTL,Artec Global Media Inc,USA,PINK,USD,Common Stock,US04300F1057
674,ACTX,Advanced Container Technologies Inc,USA,PINK,USD,Common Stock,US00791F1093
675,ACU,Acme United Corporation,USA,NYSE MKT,USD,Common Stock,US0048161048
677,ACUR,Acura Pharmaceuticals Inc,USA,OTCQB,USD,Common Stock,US00509L8028
678,ACUS,Acusphere Inc,USA,PINK,USD,Common Stock,US00511R8549
681,ACVA,ACV Auctions Inc,USA,NASDAQ,USD,Common Stock,US00091G1040
699,ACWRF,Acceleware Ltd,USA,PINK,USD,Common Stock,CA00433V1085
705,ACXIF,Acciona S.A,USA,PINK,USD,Common Stock,
707,ACXP,Acurx Pharmaceuticals Inc. Common Stock,USA,NASDAQ,USD,Common Stock,US00510M1045
709,ACY,AeroCentury Corp,USA,NYSE MKT,USD,Common Stock,US0077371096
715,ADAD,Huaizhong Health Group Inc,USA,PINK,USD,Common Stock,
716,ADAG,Adagene Inc,USA,NASDAQ,USD,Common Stock,US0053291078
719,ADAP,Adaptimmune Therapeutics plc,USA,NASDAQ,USD,Common Stock,US00653A1079
722,ADBCF,Adbri Limited,USA,PINK,USD,Common Stock,
723,ADBE,Adobe Inc,USA,NASDAQ,USD,Common Stock,US00724F1012
724,ADBKF,Addiko Bank AG,USA,PINK,USD,Common Stock,
726,ADBN,Americana Distribution Inc,USA,OTCCE,USD,Common Stock,
727,ADBRF,Aldebaran Resources Inc,USA,PINK,USD,Common Stock,
728,ADC,Agree Realty Corporation,USA,NYSE,USD,Common Stock,US0084921008
731,ADCOF,Adcore Inc,USA,PINK,USD,Common Stock,
732,ADCT,ADC Therapeutics SA,USA,NYSE,USD,Common Stock,CH0499880968
733,ADCUF,ADS Maritime Holding Plc,USA,PINK,USD,Common Stock,
734,ADCV,ADCapital US Inc,USA,PINK,USD,Common Stock,
737,ADDC,Addmaster Corporation,USA,PINK,USD,Common Stock,
738,ADDDF,adidas AG,USA,OTCQX,USD,Common Stock,DE000A1EWWW0
739,ADDLF,AddLife AB (publ),USA,PINK,USD,Common Stock,
741,ADDXF,Addex Therapeutics Ltd,USA,OTCGREY,USD,Common Stock,
742,ADDYY,adidas AG,USA,OTCQX,USD,Common Stock,US00687A1079
743,ADEC,Alternative Energy Development Corp,USA,OTCCE,USD,Common Stock,
746,ADER,26 Capital Acquisition Corp,USA,NASDAQ,USD,Common Stock,US90138P1003
747,ADERU,26 Capital Acquisition Corp,USA,NASDAQ,USD,Common Stock,US90138P2092
748,ADERW,26 Capital Acquisition Corp,USA,NASDAQ,USD,Common Stock,
749,ADERY,Aida Engineering Ltd,USA,PINK,USD,Common Stock,US0087122000
750,ADES,Advanced Emissions Solutions Inc,USA,NASDAQ,USD,Common Stock,US00770C1018
751,ADEVF,Adevinta ASA,USA,PINK,USD,Common Stock,
752,ADEX-U,ADEX-U,USA,NYSE,USD,Common Stock,
753,ADEX-WS,ADEX-WS,USA,NYSE,USD,Common Stock,
754,ADF-U,ADF-U,USA,NYSE,USD,Common Stock,
755,ADF-WS,ADF-WS,USA,NYSE,USD,Common Stock,
759,ADFJF,ADF Group Inc,USA,OTCGREY,USD,Common Stock,
760,ADFS,American Defense Systems Inc,USA,PINK,USD,Common Stock,US0253511077
761,ADFT,Adfitech Inc,USA,PINK,USD,Common Stock,
763,ADGCF,Advance Gold Corp,USA,PINK,USD,Common Stock,
768,ADGL,AllDigital Holdings Inc,USA,OTCCE,USD,Common Stock,
769,ADGO,Advantego  Corporation,USA,PINK,USD,Common Stock,US00775N1028
773,ADHC,American Diversified Holdings Corporation,USA,PINK,USD,Common Stock,US02541R3003
774,ADHG,Ando Holdings Ltd,USA,PINK,USD,Common Stock,
775,ADHLF,Applied Development Holdings Limited,USA,OTCGREY,USD,Common Stock,
776,ADI,Analog Devices Inc,USA,NASDAQ,USD,Common Stock,US0326541051
777,ADIA,Adia Nutrition Inc,USA,PINK,USD,Common Stock,
778,ADIL,Adial Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US00688A1060
779,ADILW,Adial Pharmaceuticals Inc. WT EXP 073123,USA,NASDAQ,USD,Common Stock,
782,ADIWW,Adial Pharmaceuticals Inc,USA,PINK,USD,Common Stock,
785,ADKCF,Adeka Corporation,USA,OTCGREY,USD,Common Stock,
786,ADKIL,Adkins Energy LLC,USA,OTCGREY,USD,Common Stock,
788,ADKT,The Adirondack Trust Company,USA,PINK,USD,Common Stock,
789,ADLDY,Adbri Limited,USA,PINK,USD,Common Stock,US00653T1060
790,ADLI,American Medical Technologies Inc,USA,OTCCE,USD,Common Stock,US02744X1046
793,ADM,Archer-Daniels-Midland Company,USA,NYSE,USD,Common Stock,US0394831020
794,ADMA,ADMA Biologics Inc,USA,NASDAQ,USD,Common Stock,US0008991046
796,ADMG,Adamant DRI Processing and Minerals Group,USA,PINK,USD,Common Stock,US00548B1044
797,ADMLF,Adriatic Metals PLC,USA,PINK,USD,Common Stock,
798,ADMP,Adamis Pharmaceuticals Corporation,USA,NASDAQ,USD,Common Stock,US00547W2089
799,ADMQ,ADM Endeavors Inc,USA,OTCQB,USD,Common Stock,
801,ADMS,Adamas Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock,US00548A1060
